id,type,theme,subtheme,difficulty,source,question,option_a,option_b,option_c,option_d,answer_index,explanation
Q001,mcq,fondamentaux,historique-normes,1,"ISO 27005:2022, Introduction","L'ISO/IEC 27005:2022 est alignée sur quelle norme générale de management du risque ?","ISO 9001:2015","ISO 31000:2018","NIST SP 800-30","EBIOS Risk Manager",1,"L'ISO 27005:2022 s'appuie sur le cadre ISO 31000:2018 pour le management du risque. Elle l'applique spécifiquement au domaine de la sécurité de l'information."
Q002,true_false,fondamentaux,perimetre,1,"ISO 27005:2022, §1","L'ISO 27005 prescrit une méthode spécifique d'appréciation du risque que toutes les organisations doivent suivre.",Vrai,Faux,,,1,"Faux. La norme fournit des lignes directrices, pas une méthode imposée. Elle est compatible avec EBIOS RM, MEHARI, OCTAVE ou toute autre méthode conforme à ISO 31000."
Q003,mcq,fondamentaux,versions,1,"ISO 27005:2022, Introduction","Quelle évolution majeure distingue l'ISO 27005:2022 de la version 2018 ?","Elle introduit une méthode d'appréciation obligatoire","Elle s'aligne sur ISO 31000 et supprime la notion d'actif comme point de départ","Elle remplace ISO 27001","Elle intègre des exigences de certification",1,"La version 2022 abandonne l'approche centrée sur les actifs de la version 2018 pour s'aligner pleinement sur ISO 31000:2018. L'identification des risques peut désormais partir d'événements, de scénarios ou d'actifs."
Q004,mcq,fondamentaux,perimetre,1,"ISO 27005:2022, §1","À quoi sert principalement l'ISO/IEC 27005:2022 ?","Certifier les organisations en sécurité de l'information","Fournir des lignes directrices pour gérer les risques liés à la sécurité de l'information","Définir les contrôles de sécurité applicables","Remplacer les méthodes nationales de gestion des risques",1,"ISO 27005 fournit des lignes directrices pour la gestion des risques de sécurité de l'information. Elle supporte la mise en œuvre des exigences de l'ISO 27001."
Q005,flashcard,definitions,terminologie-cle,1,"ISO 27005:2022, §3.2","Définissez la notion de 'risque' selon l'ISO 27005:2022.",,,,,"Le risque est l'effet de l'incertitude sur les objectifs. Il se caractérise par sa vraisemblance (likelihood) et ses conséquences (consequences). Ce n'est pas la menace elle-même."
Q006,flashcard,definitions,terminologie-cle,1,"ISO 27005:2022, §3.4","Quelle est la différence entre 'appréciation du risque' et 'évaluation du risque' ?",,,,,"L'appréciation du risque (risk assessment) est le processus global composé de 3 étapes : identification + estimation + évaluation. L'évaluation (risk evaluation) est uniquement la 3e étape : comparer les niveaux de risque estimés aux critères acceptés."
Q007,mcq,definitions,terminologie-cle,1,"ISO 27005:2022, §3","Selon l'ISO 27005:2022, qu'est-ce qu'une 'menace' (threat) ?","Une faiblesse d'un actif ou d'un contrôle","Une cause potentielle d'un incident non désiré","Un événement qui a causé un dommage réel","Un risque dont la vraisemblance est élevée",1,"Une menace est une cause potentielle d'un incident non désiré qui pourrait porter atteinte à un système ou à une organisation."
Q008,mcq,definitions,terminologie-cle,1,"ISO 27005:2022, §3","Qu'est-ce qu'une vulnérabilité dans le contexte de l'ISO 27005 ?","Une attaque en cours contre un système","Une faiblesse d'un actif ou d'un contrôle pouvant être exploitée par une menace","Un risque résiduel après traitement","Un événement de sécurité détecté",1,"Une vulnérabilité est une faiblesse d'un actif ou d'un contrôle de sécurité pouvant être exploitée par une ou plusieurs menaces."
Q009,true_false,definitions,terminologie-cle,1,"ISO 27005:2022, §3","Une vulnérabilité peut exister sans menace associée et constituer un risque à elle seule.",Vrai,Faux,,,1,"Faux. Une vulnérabilité seule ne crée pas de risque. Il faut une menace capable de l'exploiter."
Q010,flashcard,definitions,terminologie-cle,1,"ISO 27005:2022, §3.8","Définissez la notion d'actif (asset) dans le contexte de la gestion des risques SI.",,,,,"Un actif est tout élément ayant de la valeur pour l'organisation et nécessitant une protection : informations, logiciels, matériel, personnes, processus métier, réputation."
Q011,mcq,composantes-risque,formule-risque,2,"ISO 27005:2022, §3","Dans le modèle de risque de l'ISO 27005, le niveau de risque est une fonction de :","La probabilité d'occurrence et le coût de la mesure corrective","La menace, la vulnérabilité et la valeur de l'actif uniquement","La vraisemblance et les conséquences","L'impact métier et la criticité du système",2,"ISO 27005 (alignée ISO 31000) exprime le risque via la vraisemblance (likelihood) et les conséquences (consequences)."
Q012,mcq,composantes-risque,menaces-vulnerabilites,2,"ISO 27005:2022, §3 et Annexe A","Parmi les exemples suivants, lequel est une menace (et non une vulnérabilité) ?","Absence de politique de mots de passe","Logiciel non mis à jour","Employé malveillant cherchant à exfiltrer des données","Absence de chiffrement des données en transit",2,"Un employé malveillant est une menace (agent actif). Les autres sont des vulnérabilités (faiblesses exploitables)."
Q022,mcq,traitement,options-traitement,2,"ISO 27005:2022, §10","Parmi les options de traitement du risque, laquelle N'est PAS définie dans l'ISO 27005:2022 ?","Modifier le risque (réduire)","Retenir le risque (accepter)","Ignorer le risque","Partager le risque (transférer)",2,"'Ignorer le risque' n'existe pas. Les 4 options sont : Modifier, Retenir, Éviter, Partager/Transférer."
Q032,mcq,examen,synthese,3,"ISO 27005:2022","Dans quel ordre logique s'enchaînent les étapes du processus d'appréciation du risque ?","Estimation → Identification → Évaluation","Évaluation → Estimation → Identification","Identification → Estimation → Évaluation","Identification → Évaluation → Estimation",2,"L'ordre est : (1) Identification → (2) Estimation → (3) Évaluation. On ne peut évaluer que ce qui a été estimé."
